"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS","MSV2-ADS","MSV2-GINI -ADS","MSV2-AIS","MSV2-GINI -AIS","MSV3-ADS","MSV3-GINI -ADS","MSV3-AIS","MSV3-GINI -AIS","MSV4-ADS","MSV4-GINI -ADS","MSV4-AIS","MSV4-GINI -AIS"
"0","0.2777778","0.5","0.3","2.7","2.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"1","0.2777778","0.5","0.3","2.7","2.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"2","0.2777778","0.5","0.3","2.7","2.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"3","0.2777778","0.5","0.3","2.7","2.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"4","0.2777778","0.5","0.3","2.7","2.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"5","0.2777778","0.5","0.3","2.7","2.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"6","0.3009404","0.5078370","0.2636363636363636","2.6363636363636362","2.0","0","3.0","0","3.0","0","1.0","0","4.0","0.03896104","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.01714286","1.0","0","4.0","0","1.0","0","8.0","0","1.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"7","0.3009404","0.5078370","0.2636363636363636","2.6363636363636362","2.0","0","3.0","0","3.0","0","1.0","0","4.0","0.05769231","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.02586207","1.0","0","4.0","0","1.0","0","8.0","0","1.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"8","0.3009404","0.5078370","0.2636363636363636","2.6363636363636362","2.0","0","3.0","0","3.0","0","1.0","0","4.0","0.06666667","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03030303","1.0","0","4.0","0","1.0","0","8.0","0","1.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"9","0.3009404","0.5078370","0.2636363636363636","2.6363636363636362","2.0","0","3.0","0","3.0","0","1.0","0","4.0","0.07058824","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03243243","1.0","0","4.0","0","1.0","0","8.0","0","1.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"10","0.3009404","0.5078370","0.2636363636363636","2.6363636363636362","2.0","0","3.0","0","3.0","0","1.0","0","4.0","0.07177033","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03325942","1.0","0","4.0","0","1.0","0","8.0","0","1.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
