"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS","MSV2-ADS","MSV2-GINI -ADS","MSV2-AIS","MSV2-GINI -AIS","MSV3-ADS","MSV3-GINI -ADS","MSV3-AIS","MSV3-GINI -AIS","MSV4-ADS","MSV4-GINI -ADS","MSV4-AIS","MSV4-GINI -AIS","MSV5-ADS","MSV5-GINI -ADS","MSV5-AIS","MSV5-GINI -AIS"
"0","0.3595238","0.4309524","0.26515151515151514","2.9166666666666665","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","7.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"1","0.3595238","0.4309524","0.26515151515151514","2.9166666666666665","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","7.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"2","0.3595238","0.4309524","0.26515151515151514","2.9166666666666665","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","7.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"3","0.3595238","0.4309524","0.26515151515151514","2.9166666666666665","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","7.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"4","0.3595238","0.4309524","0.26515151515151514","2.9166666666666665","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","7.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"5","0.3595238","0.4309524","0.26515151515151514","2.9166666666666665","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","7.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"6","0.3441296","0.4534413","0.24358974358974358","2.923076923076923","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0.05714286","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","8.0","0.01714286","2.0","0","2.0","0","1.0","0","6.0","0.02380952","1.0","0","9.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"7","0.3441296","0.4534413","0.24358974358974358","2.923076923076923","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0.08333333","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02586207","2.0","0","2.0","0","1.0","0","6.0","0.03571429","1.0","0","9.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"8","0.3441296","0.4534413","0.24358974358974358","2.923076923076923","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0.09523810","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","8.0","0.03030303","2.0","0","2.0","0","1.0","0","6.0","0.04166667","1.0","0","9.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"9","0.35","0.4678571","0.21978021978021978","2.857142857142857","8.0","0","2.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0.1","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","0.0","0","1.0","0","9.0","0.044","3.0","0.04285714","2.0","0","1.0","0","6.0","0.04444444","1.0","0","9.0","0","2.0","0","1.0","0","1.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
