"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS","MSV2-ADS","MSV2-GINI -ADS","MSV2-AIS","MSV2-GINI -AIS","MSV3-ADS","MSV3-GINI -ADS","MSV3-AIS","MSV3-GINI -AIS","MSV4-ADS","MSV4-GINI -ADS","MSV4-AIS","MSV4-GINI -AIS"
"0","0.3646724","0.4102564","0.17307692307692307","2.076923076923077","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","4.0","0","5.0","0","0.0","0","5.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"1","0.3646724","0.4102564","0.17307692307692307","2.076923076923077","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","4.0","0","5.0","0","0.0","0","5.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"2","0.3646724","0.4102564","0.17307692307692307","2.076923076923077","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","4.0","0","5.0","0","0.0","0","5.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"3","0.3646724","0.4102564","0.17307692307692307","2.076923076923077","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","4.0","0","5.0","0","0.0","0","5.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"4","0.3646724","0.4102564","0.17307692307692307","2.076923076923077","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","4.0","0","5.0","0","0.0","0","5.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"5","0.3646724","0.4102564","0.17307692307692307","2.076923076923077","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","5.0","0","4.0","0","5.0","0","0.0","0","5.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"6","0.3619048","0.4380952","0.16483516483516483","2.142857142857143","4.0","0.03896104","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","6.0","0.02380952","4.0","0","5.0","0","0.0","0","6.0","0.02380952","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"7","0.3619048","0.4380952","0.16483516483516483","2.142857142857143","4.0","0.05769231","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","6.0","0.03571429","4.0","0","5.0","0","0.0","0","6.0","0.03571429","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"8","0.3619048","0.4380952","0.16483516483516483","2.142857142857143","4.0","0.06666667","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","6.0","0.04166667","4.0","0","5.0","0","0.0","0","6.0","0.04166667","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"9","0.3619048","0.4380952","0.16483516483516483","2.142857142857143","4.0","0.07058824","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","6.0","0.04444444","4.0","0","5.0","0","0.0","0","6.0","0.04444444","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
